 9172                                                                                       73.00-49.21 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9173                                                                                       71.94-49.94 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9174                                                                                       70.85-50.66 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9175                                                                                       69.73-51.37 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9176                                                                                       68.58-52.07 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9177                                                                                       67.39-52.75 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9178                                                                                       68.53-53.48 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9179                                                                                       69.71-54.19 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9180                                                                                       70.92-54.90 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9181                                                                                       72.18-55.59 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9182                                                                                       73.49-56.27 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9183                                                                                       74.83-56.94 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9184                                                                                       76.23-57.59 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9185                                                                                       77.67-58.23 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9186                                                                                       79.17-58.85 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9187                                                                                       80.71-59.46 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9188                                                                                       82.31-60.04 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9189                                                                                       83.97-60.61 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9190                                                                                       85.68-61.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9191                                                                                       87.46-61.69 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9192                                                                                       89.29-62.19 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9193                                                                                       91.18-62.67 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9194                                                                                       91.66-62.79 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9195                                                                                       90.61-63.67 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9196                                                                                       89.51-64.54 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9197                                                                                       88.32-65.41 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9198                                                                                       87.06-66.27 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9199                                                                                       85.71-67.11 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9200                                                                                       84.26-67.94 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9201                                                                                       82.71-68.76 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9202                                                                                       81.03-69.57 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9203                                                                                       79.23-70.35 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9204                                                                                       77.29-71.12 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9205                                                                                       75.19-71.87 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9206                                                                                       72.92-72.59 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9207                                                                                       70.46-73.28 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9208                                                                                       67.80-73.94 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9209                                                                                       64.93-74.57 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9210                                                                                       61.82-75.15 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9211                                                                                       58.48-75.69 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9212                                                                                       54.89-76.19 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9213                                                                                       51.06-76.62 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9214                                                                                       47.00-77.00 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9215                                                                                       42.72-77.30 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9216                                                                                       40.51-77.43 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9217                                                                                       39.58-76.55 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9218                                                                                       38.73-75.67 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9219                                                                                       37.96-74.79 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9220                                                                                       37.25-73.91 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9221                                                                                       36.58-73.03 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9222                                                                                       35.96-72.14 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9223                                                                                       35.37-71.26 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9224                                                                                       34.82-70.38 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9225                                                                                       34.29-69.49 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9226                                                                                       33.78-68.61 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9227                                                                                       33.30-67.72 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9228                                                                                       32.83-66.84 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9229                                                                                       32.61-66.40 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9230                                                                                       32.17-65.51 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9231                                                                                       31.74-64.63 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9232                                                                                       31.32-63.74 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9233                                                                                       30.92-62.86 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9234                                                                                       30.52-61.98 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9235                                                                                       30.13-61.09 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9236                                                                                       29.75-60.21 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9237                                                                                       29.38-59.33 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9238                                                                                       29.01-58.44 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9239                                                                                       28.65-57.56 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9240                                                                                       28.29-56.68 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
